Timestep	Duration (ma)	End Time (ma)	Elastic ehmin	Elastic ehmax	Total ehmin	Total ehmax	FS HMin Mode1												FS HMin Mode2												FS HMax Mode1												FS HMax Mode2												uF Porosity: Uniform aperture	MF Porosity: Uniform aperture	uF Porosity: Size-dependent aperture	MF Porosity: Size-dependent aperture	uF Porosity: Dynamic aperture	MF Porosity: Dynamic aperture	uF Porosity: Barton-Bandis aperture	MF Porosity: Barton-Bandis aperture	
							Fracture stage	Driving stress	a_uFP30	s_uFP30	a_uFP32	s_uFP32	a_MFP30	sII_MFP30	sIJ_MFP30	a_MFP32	s_MFP32	Theta_dashed	Fracture stage	Driving stress	a_uFP30	s_uFP30	a_uFP32	s_uFP32	a_MFP30	sII_MFP30	sIJ_MFP30	a_MFP32	s_MFP32	Theta_dashed	Fracture stage	Driving stress	a_uFP30	s_uFP30	a_uFP32	s_uFP32	a_MFP30	sII_MFP30	sIJ_MFP30	a_MFP32	s_MFP32	Theta_dashed	Fracture stage	Driving stress	a_uFP30	s_uFP30	a_uFP32	s_uFP32	a_MFP30	sII_MFP30	sIJ_MFP30	a_MFP32	s_MFP32	Theta_dashed									
0	0	0	0	0	0	0	NotActivated	0	0	0	0	0	0	0	0	0	0	1	NotActivated	0	0	0	0	0	0	0	0	0	0	1	NotActivated	0	0	0	0	0	0	0	0	0	0	1	NotActivated	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
1	0.142099533507105	0.142099533507105	-0.000194745335071048	0.00122625	-0.00142099533507105	0	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	1.60734484714866E-05	0	2.88308711262283E-07	0	0	0	6.2263571993859E-06	0	
2	0.000915097543913899	0.143014631051019	-0.000203896310510187	0.00122625	-0.00143014631051019	0	NotActivated	0	0.00266212986235546	0	0.00802305134380804	0	0.000222222222222222	0	0	0	0	1	Growing	78968.4762172945	0.00264319672209234	4.52021080109334E-06	0.00779121755386203	1.34670169978693E-05	0.000261880654378314	0	0	0.000424413181578384	0	1	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	1.59505921930773E-05	2.12206590789192E-07	2.84887782358874E-07	1.99999999999999E-08	0	0	6.17164868907278E-06	1.11667394232036E-07	
3	5.38079920608959E-05	0.14306843904308	-0.000204434390430796	0.00122625	-0.0014306843904308	0	NotActivated	0	0.00265760202901402	0	0.00800940548832661	0	0.000222222222222222	0	0	0	0	1	Growing	83611.8447517457	0.00262434950559322	8.97759696733602E-06	0.00761407932713832	2.58458726010889E-05	0.000291057718076467	1.07709403047205E-06	0	0.000845529490053016	2.45764849447952E-06	0.998301827066586	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	1.58613895797763E-05	4.23993569273748E-07	2.82474840212877E-07	3.99604524719916E-08	0	0	6.12661715859303E-06	2.23134874228824E-07	
4	3.17668307989143E-05	0.143100205873878	-0.000204752058738785	0.00122625	-0.00143100205873878	0	NotActivated	0	0.00265307372411041	0	0.00799575821166446	0	0.000222222222222222	0	0	0	0	1	Growing	86353.1680556118	0.00260805055692727	1.34176073294135E-05	0.00747286136040857	3.81027531329984E-05	0.000314944110284156	2.25475980989713E-06	0	0.00126505837209795	6.54683755568802E-06	0.996042131536074	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	1.57900853983463E-05	6.35802604826818E-07	2.80590976879893E-07	5.99229837737156E-08	0	0	6.09079650000487E-06	3.34622006914487E-07	
5	2.25990410157676E-05	0.143122804914894	-0.000204978049148942	0.00122625	-0.00143122804914894	0	NotActivated	0	0.00264854524198383	0	0.00798211040089278	0	0.000222222222222222	0	0	0	0	1	Growing	88303.3556010347	0.00259342509804156	1.78480360576206E-05	0.00735428892859231	5.0415219839891E-05	0.000335327314309693	3.51587872602236E-06	0	0.001682985650129	1.22542096488341E-05	0.993503155213557	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	1.57301315104058E-05	8.47619929888918E-07	2.79038773623873E-07	7.98862963432596E-08	0	0	6.06086265797635E-06	4.46118714266472E-07	
6	1.7553249150685E-05	0.143140358164045	-0.000205153581640449	0.00122625	-0.00143140358164045	0	NotActivated	0	0.00264401668409048	0	0.00796846236177736	0	0.000222222222222222	0	0	0	0	0.99926270159698	Growing	89818.115800437	0.00257999808163403	2.22716805562351E-05	0.00725139676436829	6.28295462453489E-05	0.000353184618518294	4.84914524674459E-06	0	0.00209931148269049	1.95701151118322E-05	0.990797796003636	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	1.56780685719388E-05	1.05944079890116E-06	2.7771496135224E-07	9.98499429222358E-08	0	0	6.03503417861511E-06	5.57621162647759E-07	
7	1.43588647487492E-05	0.143154717028794	-0.000205297170287937	0.00122625	-0.00143154717028794	0	NotActivated	0	0.00263948809412158	0	0.00795481422599356	0	0.000222222222222222	0	0	0	0	0.998131200410222	Growing	91057.2161312832	0.00256747941728056	2.66898210785925E-05	0.00716005140240628	7.53564160630283E-05	0.000369115778080344	6.24644218450689E-06	0	0.00251403873332863	2.84876031315518E-05	0.987982500306911	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	1.56318352579748E-05	1.27126316823009E-06	2.76558528128117E-07	1.19813730902728E-07	0	0	6.01224378214971E-06	6.69127495164667E-07	
8	1.21555350633315E-05	0.143166872563857	-0.00020541872563857	0.00122625	-0.00143166872563857	0	NotActivated	0	0.00263495949370933	0	0.00794116605873588	0	0.000222222222222222	0	0	0	0	0.996919123933716	Growing	92106.1798050907	0.00255567745387786	3.11031502404061E-05	0.00707758863811014	8.79950244749282E-05	0.000383518656255423	7.70160934488584E-06	0	0.00292717038570654	3.90016663758405E-05	0.985089522183456	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	1.55900990964038E-05	1.48308602604119E-06	2.75530328266184E-07	1.39777564921581E-07	0	0	5.99179959218406E-06	7.80636666016434E-07	
9	1.05445275631178E-05	0.14317741709142	-0.000205524170914201	0.00122625	-0.0014317741709142	0	NotActivated	0	0.00263043089466505	0	0.00792751789560095	0	0.000222222222222222	0	0	0	0	0.99564662090469	Growing	93016.1213513529	0.00254445818809134	3.55120943612284E-05	0.00700218587606321	0.000100740722092928	0.000396672444005195	9.20978354179297E-06	0	0.00333870890944366	5.11087302889101E-05	0.982139020534259	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	1.55519464826219E-05	1.69490881986629E-06	2.74603698850695E-07	1.59741392909894E-07	0	0	5.97322638697145E-06	8.92148021305891E-07	
10	9.31563356135877E-06	0.143186732724981	-0.000205617327249815	0.00122625	-0.00143186732724982	0	NotActivated	0	0.00262590230393273	0	0.00791386975751638	0	0.000222222222222222	0	0	0	0	0.994327122729647	Growing	93820.0153102348	0.00253372381744761	3.99169443897085E-05	0.00693253874291801	0.000113587762931867	0.000408781575663873	1.07670104152116E-05	0	0.00374865614364882	6.48063061585872E-05	0.979144435356843	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	1.55167223674264E-05	1.9067312249037E-06	2.73759636078483E-07	1.79705184255832E-07	0	0	5.95618302350995E-06	1.00366111954925E-06	
11	8.34752506290273E-06	0.143195080250044	-0.000205700802500444	0.00122625	-0.00143195080250044	0	NotActivated	0	0.00262137372584383	0	0.00790022165753619	0	0.000222222222222222	0	0	0	0	0.992970030633534	Growing	94540.3662048327	0.00252340051925971	4.43179158673974E-05	0.00686768010638831	0.000126530350646611	0.000420000828812781	1.23699999354095E-05	0	0.00415701332747602	8.00927496280649E-05	0.976115175686231	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	1.54839402930289E-05	2.11855303855204E-06	2.72984103102457E-07	1.99668919864663E-07	0	0	5.94041593623407E-06	1.11517564471718E-06	
